t,X2
0,28.0
1,68.3
2,111.6
3,85.7
4,110.2
5,87.7
6,109.3
7,89.0
8,108.6
9,90.0
10,108.0
11,90.7
12,107.6
13,91.3
14,107.2
15,91.8
16,106.9
17,92.2
18,106.6
19,92.5
20,106.4
21,92.8
22,106.1
23,93.1
24,105.9
25,93.3
26,105.8
27,93.6
28,105.6
29,93.8
30,105.5
31,93.9
32,105.3
33,94.1
34,105.2
35,94.3
36,105.1
37,94.4
38,105.0
39,94.5
40,104.9
41,94.7
42,104.8
43,94.8
44,104.7
45,94.9
46,104.6
47,95.0
48,104.5
49,95.1
50,104.4
51,95.2
52,104.4
53,95.3
54,104.3
55,95.3
56,104.2
57,95.4
58,104.2
59,95.5
60,104.1
61,95.6
62,104.0
63,95.6
64,104.0
65,95.7
66,103.9
67,95.8
68,103.9
69,95.8
70,103.8
71,95.9
72,103.8
73,95.9
74,103.7
75,96.0
76,103.7
77,96.0
78,103.7
79,96.1
80,103.6
81,96.1
82,103.6
83,96.2
84,103.5
85,96.2
86,103.5
87,96.3
88,103.5
89,96.3
90,103.4
91,96.3
92,103.4
93,96.4
94,103.4
95,96.4
96,103.3
97,96.4
98,103.3
99,96.5
100,103.3
101,96.5
102,103.2
103,96.5
104,103.2
105,96.6
106,103.2
107,96.6
108,103.2
109,96.6
110,103.1
111,96.7
112,103.1
113,96.7
114,103.1
115,96.7
116,103.1
117,96.7
118,103.0
119,96.8
120,103.0
121,96.8
122,103.0
123,96.8
124,103.0
125,96.9
126,103.0
127,96.9
128,102.9
129,96.9
130,102.9
131,96.9
132,102.9
133,96.9
134,102.9
135,97.0
136,102.8
137,97.0
138,102.8
139,97.0
140,102.8
141,97.0
142,102.8
143,97.1
144,102.8
145,97.1
146,102.8
147,97.1
148,102.7
149,97.1
150,102.7
151,97.1
152,102.7
153,97.1
154,102.7
155,97.2
156,102.7
157,97.2
158,102.7
159,97.2
160,102.6
161,97.2
162,102.6
163,97.2
164,102.6
165,97.3
166,102.6
167,97.3
168,102.6
169,97.3
170,102.6
171,97.3
172,102.6
173,97.3
174,102.5
175,97.3
176,102.5
177,97.3
178,102.5
179,97.4
180,102.5
181,97.4
182,102.5
183,97.4
184,102.5
185,97.4
186,102.5
187,97.4
188,102.5
189,97.4
190,102.4
191,97.4
192,102.4
193,97.5
194,102.4
195,97.5
196,102.4
197,97.5
198,102.4
199,97.5
200,102.4
201,97.5
202,102.4
203,97.5
204,102.4
205,97.5
206,102.3
207,97.5
208,102.3
209,97.6
210,102.3
211,97.6
212,102.3
213,97.6
214,102.3
215,97.6
216,102.3
217,97.6
218,102.3
219,97.6
220,102.3
221,97.6
222,102.3
223,97.6
224,102.3
225,97.6
226,102.2
227,97.6
228,102.2
229,97.7
230,102.2
231,97.7
232,102.2
233,97.7
234,102.2
235,97.7
236,102.2
237,97.7
238,102.2
239,97.7
240,102.2
241,97.7
242,102.2
243,97.7
244,102.2
245,97.7
246,102.2
247,97.7
248,102.2
249,97.8
250,102.1
251,97.8
252,102.1
253,97.8
254,102.1
255,97.8
256,102.1
257,97.8
258,102.1
259,97.8
260,102.1
261,97.8
262,102.1
263,97.8
264,102.1
265,97.8
266,102.1
267,97.8
268,102.1
269,97.8
270,102.1
271,97.8
272,102.1
273,97.9
274,102.1
275,97.9
276,102.0
277,97.9
278,102.0
279,97.9
280,102.0
281,97.9
282,102.0
283,97.9
284,102.0
285,97.9
286,102.0
287,97.9
288,102.0
289,97.9
290,102.0
291,97.9
292,102.0
293,97.9
294,102.0
295,97.9
296,102.0
297,97.9
298,102.0
299,97.9
